pinstConf("Q23", "P26", "Q191789", "175901", "179912", "true", 1.9214)
pinstConf("Q23", "P569", "17320222", "173202", "173202", "true", 1.5992)
pinstConf("Q23", "P570", "17991214", "179912", "179912", "true", 2.1840)
pinstConf("Q24", "P569", "19660218", "196602", "196602", "true", 3.4830)
pinstConf("Q42", "P26", "Q14623681", "199111", "200105", "true", 2.2799)
pinstConf("Q42", "P569", "19520311", "195203", "195203", "true", 2.0505)
pinstConf("Q42", "P570", "20010511", "200105", "200105", "true", 1.9802)
pinstConf("Q207", "P26", "Q152019", "197711", "197711", "true", 2.5051)
pinstConf("Q207", "P569", "19460706", "194607", "194607", "true", 2.7115)
pinstConf("Q297", "P569", "15990600", "159906", "159906", "true", 2.3015)
pinstConf("Q297", "P569", "15990606", "159906", "159906", "true", 2.2634)
pinstConf("Q297", "P570", "16600806", "166008", "166008", "true", 2.4994)
pinstConf("Q326", "P569", "19420624", "194206", "194206", "true", 2.7218)
pinstConf("Q368", "P569", "19151125", "191511", "191511", "true", 3.6636)
pinstConf("Q368", "P570", "20061210", "200612", "200612", "true", 1.6493)
pinstConf("Q377", "P569", "18820707", "188207", "188207", "true", 4.0396)
pinstConf("Q377", "P570", "19420628", "194206", "194206", "true", 2.0367)
pinstConf("Q475", "P569", "19110116", "191101", "191101", "true", 1.4319)
pinstConf("Q475", "P570", "19820122", "198201", "198201", "true", 3.8918)
pinstConf("Q501", "P569", "18210409", "182104", "182104", "true", 2.3699)
pinstConf("Q501", "P570", "18670831", "186708", "186708", "true", 1.8825)
pinstConf("Q530", "P569", "19560318", "195603", "195603", "true", 1.9924)
pinstConf("Q555", "P569", "19730401", "197304", "197304", "true", 2.5459)
pinstConf("Q619", "P569", "14730219", "147302", "147302", "true", 2.6645)
pinstConf("Q619", "P570", "15430524", "154305", "154305", "true", 2.3210)
pinstConf("Q633", "P26", "Q3374257", "197708", "197708", "true", 1.6936)
pinstConf("Q633", "P569", "19451112", "194511", "194511", "true", 4.1254)
pinstConf("Q635", "P569", "-00681001", "-00681", "-00681", "true", 1.6732)
pinstConf("Q635", "P570", "-00290810", "-00290", "-00290", "true", 2.1698)
pinstConf("Q747", "P569", "16060606", "160606", "160606", "true", 2.1397)
pinstConf("Q747", "P570", "16841001", "168410", "168410", "true", 2.4195)
pinstConf("Q815", "P569", "18981122", "189811", "189811", "true", 1.4064)
pinstConf("Q815", "P570", "19800822", "198008", "198008", "true", 1.8203)
pinstConf("Q849", "P569", "14310401", "143104", "143104", "true", 4.1846)
pinstConf("Q849", "P570", "14630101", "146301", "146301", "true", 2.1840)
pinstConf("Q849", "P570", "14640101", "146401", "146401", "true", 1.7036)
pinstConf("Q853", "P26", "Q1981049", "195704", "197006", "true", 1.6353)
pinstConf("Q853", "P26", "Q3217941", "195704", "197006", "true", 1.8320)
pinstConf("Q853", "P26", "Q3217941", "197001", "198612", "true", 2.4881)
